,0
A2,110.01
a2,110.01
A2b,103.82
a2b,103.82
A2x,116.55
a2x,116.55
Ais2,116.55
ais2,116.55
B2,123.46
b2,123.46
B2b,116.55
b2b,116.55
C2,65.40
c2,65.40
C2x,69.30
c2x,69.30
Cis2,69.30
cis2,69.30
D2,73.42
d2,73.42
D2b,69.30
d2b,69.30
D2x,77.78
d2x,77.78
Dis2,77.78
dis2,77.78
E2,82.41
e2,82.41
E2b,77.78
e2b,77.78
F2,87.31
f2,87.31
F2x,92.51
f2x,92.51
Fis2,92.51
fis2,92.51
G2,98.00
g2,98.00
G2b,92.51
g2b,92.51
G2x,103.82
g2x,103.82
Gis2,103.82
gis2,103.82
H2,123.46
h2,123.46
H2b,116.55
h2b,116.55
bH2,116.55
bh2,116.55
xA2,116.55
xa2,116.55
xC2,69.30
xc2,69.30
xF2,92.51
xf2,92.51
xG2,98.00
xg2,98.00
A3,219.97
a3,219.97
A3b,207.64
a3b,207.64
A3x,233.10
a3x,233.10
Ais3,233.10
ais3,233.10
B3,246.91
b3,246.91
B3b,233.10
b3b,233.10
C3,130.82
c3,130.82
C3x,138.58
c3x,138.58
Cis3,138.58
cis3,138.58
D3,146.84
d3,146.84
D3b,138.58
d3b,138.58
D3x,155.57
d3x,155.57
Dis3,155.57
dis3,155.57
E3,164.80
e3,164.80
E3b,155.57
e3b,155.57
F3,174.64
f3,174.64
F3x,184.98
f3x,184.98
Fis3,184.98
fis3,184.98
G3,196.00
g3,196.00
G3b,184.98
g3b,184.98
G3x,207.64
g3x,207.64
Gis3,207.64
gis3,207.64
H3,246.91
h3,246.91
H3b,233.10
h3b,233.10
bH3,233.10
bh3,233.10
xA3,233.10
xa3,233.10
xC3,138.58
xc3,138.58
xF3,184.98
xf3,184.98
xG3,196.00
xg3,196.00
A4,440.14
a4,440.14
A4b,415.28
a4b,415.28
A4x,465.98
a4x,465.98
Ais4,465.98
ais4,465.98
B4,494.07
b4,494.07
B4b,465.98
b4b,465.98
C4,261.64
c4,261.64
C4x,277.16
c4x,277.16
Cis4,277.16
cis4,277.16
D4,293.60
d4,293.60
D4b,277.16
d4b,277.16
D4x,311.14
d4x,311.14
Dis4,311.14
dis4,311.14
E4,329.60
e4,329.60
E4b,311.14
e4b,311.14
F4,349.16
f4,349.16
F4x,370.10
f4x,370.10
Fis4,370.10
fis4,370.10
G4,391.85
g4,391.85
G4b,370.10
g4b,370.10
G4x,415.28
g4x,415.28
Gis4,415.28
gis4,415.28
H4,494.07
h4,494.07
H4b,465.98
h4b,465.98
bH4,465.98
bh4,465.98
xA4,465.98
xa4,465.98
xC4,277.16
xc4,277.16
xF4,370.10
xf4,370.10
xG4,391.85
xg4,391.85
A5,880.28
a5,880.28
A5b,830.56
a5b,830.56
A5x,932.84
a5x,932.84
Ais5,932.84
ais5,932.84
B5,988.14
b5,988.14
B5b,932.84
b5b,932.84
C5,523.01
c5,523.01
C5x,554.32
c5x,554.32
Cis5,554.32
cis5,554.32
D5,587.54
d5,587.54
D5b,554.32
d5b,554.32
D5x,621.89
d5x,621.89
Dis5,621.89
dis5,621.89
E5,659.63
e5,659.63
E5b,621.89
e5b,621.89
F5,698.32
f5,698.32
F5x,739.64
f5x,739.64
Fis5,739.64
fis5,739.64
G5,783.70
g5,783.70
G5b,739.64
g5b,739.64
G5x,830.56
g5x,830.56
Gis5,830.56
gis5,830.56
H5,988.14
h5,988.14
H5b,932.84
h5b,932.84
bH5,932.84
bh5,932.84
xA5,932.84
xa5,932.84
xC5,554.32
xc5,554.32
xF5,739.64
xf5,739.64
xG5,783.70
xg5,783.70
A6,1760.56
a6,1760.56
A6b,1661.13
a6b,1661.13
A6x,1865.67
a6x,1865.67
Ais6,1865.67
ais6,1865.67
B6,1976.28
b6,1976.28
B6b,1865.67
b6b,1865.67
C6,1046.03
c6,1046.03
C6x,1108.65
c6x,1108.65
Cis6,1108.65
cis6,1108.65
D6,1173.71
d6,1173.71
D6b,1108.65
d6b,1108.65
D6x,1243.78
d6x,1243.78
Dis6,1243.78
dis6,1243.78
E6,1319.26
e6,1319.26
E6b,1243.78
e6b,1243.78
F6,1396.65
f6,1396.65
F6x,1479.29
f6x,1479.29
Fis6,1479.29
fis6,1479.29
G6,1567.40
g6,1567.40
G6b,1479.29
g6b,1479.29
G6x,1661.13
g6x,1661.13
Gis6,1661.13
gis6,1661.13
H6,1976.28
h6,1976.28
H6b,1865.67
h6b,1865.67
bH6,1865.67
bh6,1865.67
xA6,1865.67
xa6,1865.67
xC6,1108.65
xc6,1108.65
xF6,1479.29
xf6,1479.29
xG6,1567.40
xg6,1567.40
A7,3521.13
a7,3521.13
A7b,3333.33
a7b,3333.33
A7x,3731.34
a7x,3731.34
Ais7,3731.34
ais7,3731.34
B7,3937.01
b7,3937.01
B7b,3731.34
b7b,3731.34
C7,2092.05
c7,2092.05
C7x,2222.22
c7x,2222.22
Cis7,2222.22
cis7,2222.22
D7,2347.42
d7,2347.42
D7b,2222.22
d7b,2222.22
D7x,2487.56
d7x,2487.56
Dis7,2487.56
dis7,2487.56
E7,2631.58
e7,2631.58
E7b,2487.56
e7b,2487.56
F7,2793.30
f7,2793.30
F7x,2958.58
f7x,2958.58
Fis7,2958.58
fis7,2958.58
G7,3144.65
g7,3144.65
G7b,2958.58
g7b,2958.58
G7x,3333.33
g7x,3333.33
Gis7,3333.33
gis7,3333.33
H7,3937.01
h7,3937.01
H7b,3731.34
h7b,3731.34
bH7,3731.34
bh7,3731.34
xA7,3731.34
xa7,3731.34
xC7,2222.22
xc7,2222.22
xF7,2958.58
xf7,2958.58
xG7,3144.65
xg7,3144.65
